No.     Time           Source                Destination           Protocol Length Info
    190 108.877440     149.43.220.33         224.0.0.251           MDNS     1283   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    191 108.877519     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1303   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    192 108.898342     63.34.202.188         149.43.220.33         TLSv1.2  498    Application Data
    193 108.898443     149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=56 Ack=4239 Win=2041 Len=0 TSval=1851883718 TSecr=3649049807
    194 109.790720     149.43.220.33         185.199.108.154       TCP      54     [TCP Dup ACK 60#2] 51398 → 443 [ACK] Seq=1 Ack=1 Win=2649 Len=0
    195 109.806649     185.199.108.154       149.43.220.33         TCP      66     [TCP Dup ACK 61#2] [TCP ACKed unseen segment] 443 → 51398 [ACK] Seq=1 Ack=2 Win=287 Len=0 TSval=1615173130 TSecr=1750719419
    196 110.125436     149.43.220.33         224.0.0.251           MDNS     1311   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    197 110.125445     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1331   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    198 111.133193     149.43.220.33         224.0.0.251           MDNS     494    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    199 111.133203     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     514    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    200 111.717280     12:01:00:00:01:00     Broadcast             ARP      60     ARP Announcement for 149.43.192.1
    201 112.024485     12:01:00:00:01:00     Broadcast             ARP      60     ARP Announcement for 149.43.96.1
    202 112.337016     149.43.220.33         185.199.111.133       TCP      54     [TCP Dup ACK 64#2] 51399 → 443 [ACK] Seq=1 Ack=1 Win=11580 Len=0
    203 112.353347     185.199.111.133       149.43.220.33         TCP      66     [TCP Dup ACK 67#2] [TCP ACKed unseen segment] 443 → 51399 [ACK] Seq=1 Ack=2 Win=321 Len=0 TSval=3051740603 TSecr=2596593280
    204 113.769388     63.34.202.188         149.43.220.33         TLSv1.2  282    Application Data
    205 113.769491     149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=56 Ack=4455 Win=2044 Len=0 TSval=1851888589 TSecr=3649054646
    206 113.863715     149.43.220.33         63.34.202.188         TLSv1.2  121    Application Data
    207 113.952616     63.34.202.188         149.43.220.33         TCP      66     443 → 51395 [ACK] Seq=4455 Ack=111 Win=115 Len=0 TSval=3649054862 TSecr=1851888684
    208 114.127372     149.43.220.33         224.0.0.251           MDNS     1311   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    209 114.127382     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1331   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    210 114.895725     107.20.137.119        149.43.220.33         TCP      66     [TCP Dup ACK 47#7] 443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585746821 TSecr=2431226172
    211 114.895905     149.43.220.33         107.20.137.119        TCP      66     [TCP Dup ACK 48#7] [TCP ACKed unseen segment] 59296 → 443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2431241223 TSecr=585664031
    212 120.152567     149.43.220.33         224.0.0.251           MDNS     494    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    213 120.152576     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     514    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    214 129.948641     107.20.137.119        149.43.220.33         TCP      66     [TCP Dup ACK 47#8] 443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585750583 TSecr=2431241223
    215 129.948822     149.43.220.33         107.20.137.119        TCP      66     [TCP Dup ACK 48#8] [TCP ACKed unseen segment] 59296 → 443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2431256275 TSecr=585664031
    216 131.792318     54.160.120.76         149.43.220.33         TLSv1.2  577    Application Data
    217 131.792625     149.43.220.33         54.160.120.76         TCP      66     59276 → 443 [ACK] Seq=5887 Ack=2039 Win=2040 Len=0 TSval=3542586712 TSecr=482513962
    218 131.797121     149.43.220.33         54.160.120.76         TCP      1440   59276 → 443 [ACK] Seq=5887 Ack=2039 Win=2048 Len=1374 TSval=3542586716 TSecr=482513962 [TCP segment of a reassembled PDU]
    219 131.797128     149.43.220.33         54.160.120.76         TLSv1.2  655    Application Data
    220 131.811530     54.160.120.76         149.43.220.33         TCP      66     443 → 59276 [ACK] Seq=2039 Ack=7850 Win=300 Len=0 TSval=482513999 TSecr=3542586716
    221 134.351157     149.43.220.33         185.199.108.154       TCP      66     [TCP Previous segment not captured] 51398 → 443 [FIN, ACK] Seq=2 Ack=1 Win=2649 Len=0 TSval=1750924023 TSecr=1615173130
    222 134.351231     149.43.220.33         185.199.111.133       TCP      66     [TCP Previous segment not captured] 51399 → 443 [FIN, ACK] Seq=2 Ack=1 Win=11580 Len=0 TSval=2596795343 TSecr=3051740603
    223 134.351334     149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [FIN, ACK] Seq=111 Ack=4455 Win=2048 Len=0 TSval=1851909170 TSecr=3649054862
    224 134.351597     149.43.220.33         199.232.36.81         TCP      66     [TCP Previous segment not captured] 51392 → 443 [FIN, ACK] Seq=2 Ack=1 Win=2049 Len=0 TSval=1202883859 TSecr=1879932904
    225 134.351686     149.43.220.33         142.250.31.188        TCP      66     [TCP Previous segment not captured] 51394 → 5228 [FIN, ACK] Seq=2 Ack=1 Win=2048 Len=0 TSval=2880665940 TSecr=2846171422
    226 134.356597     149.43.220.33         149.43.134.83         DNS      80     Standard query 0x3a15 A cc-api-data.adobe.io
    227 134.357127     149.43.220.33         149.43.134.83         DNS      76     Standard query 0xc345 A mtalk.google.com
    228 134.357217     149.43.220.33         149.43.134.83         DNS      76     Standard query 0xa1b1 Unknown (65521) mtalk.google.com
    229 134.359247     149.43.220.33         149.43.223.255        NBNS     110    Release NB JINSEOBS-MBP<00>
    230 134.362408     149.43.134.83         149.43.220.33         DNS      131    Standard query response 0xc345 A mtalk.google.com CNAME mobile-gtalk.l.google.com A 142.250.31.188
    231 134.362409     149.43.134.83         149.43.220.33         DNS      144    Standard query response 0x3a15 A cc-api-data.adobe.io A 52.202.204.11 A 54.227.187.23 A 23.22.254.206 A 52.5.13.197
    232 134.362409     149.43.134.83         149.43.220.33         DNS      165    Standard query response 0xa1b1 Unknown (65521) mtalk.google.com CNAME mobile-gtalk.l.google.com SOA ns1.google.com
    233 134.362747     149.43.220.33         142.250.31.188        TCP      78     51410 → 5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2030429500 TSecr=0 SACK_PERM=1
    234 134.363799     149.43.220.33         23.22.254.206         TCP      78     59298 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2505441650 TSecr=0 SACK_PERM=1
    235 134.367509     185.199.108.154       149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51398 [ACK] Seq=1 Ack=3 Win=287 Len=0 TSval=1615197689 TSecr=1750924023
    236 134.367509     185.199.108.154       149.43.220.33         TLSv1.2  90     Application Data
    237 134.367509     185.199.108.154       149.43.220.33         TCP      66     443 → 51398 [FIN, ACK] Seq=25 Ack=3 Win=287 Len=0 TSval=1615197690 TSecr=1750924023
    238 134.367510     185.199.111.133       149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51399 [ACK] Seq=1 Ack=3 Win=321 Len=0 TSval=3051762617 TSecr=2596795343
    239 134.367510     199.232.36.81         149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51392 [ACK] Seq=1 Ack=3 Win=290 Len=0 TSval=1879976254 TSecr=1202883859
    240 134.367510     199.232.36.81         149.43.220.33         TLSv1.2  90     Application Data
    241 134.367510     199.232.36.81         149.43.220.33         TCP      66     443 → 51392 [FIN, ACK] Seq=25 Ack=3 Win=290 Len=0 TSval=1879976255 TSecr=1202883859
    242 134.367510     185.199.111.133       149.43.220.33         TLSv1.2  90     Application Data
    243 134.367510     185.199.111.133       149.43.220.33         TCP      66     443 → 51399 [FIN, ACK] Seq=25 Ack=3 Win=321 Len=0 TSval=3051762618 TSecr=2596795343
    244 134.367613     149.43.220.33         185.199.111.133       TCP      54     51399 → 443 [RST] Seq=3 Win=0 Len=0
    245 134.367640     149.43.220.33         185.199.111.133       TCP      54     51399 → 443 [RST] Seq=3 Win=0 Len=0
    246 134.367667     149.43.220.33         199.232.36.81         TCP      54     51392 → 443 [RST] Seq=3 Win=0 Len=0
    247 134.367685     149.43.220.33         199.232.36.81         TCP      54     51392 → 443 [RST] Seq=3 Win=0 Len=0
    248 134.367699     149.43.220.33         185.199.108.154       TCP      54     51398 → 443 [RST] Seq=3 Win=0 Len=0
    249 134.367707     149.43.220.33         185.199.108.154       TCP      54     51398 → 443 [RST] Seq=3 Win=0 Len=0
    250 134.377085     142.250.31.188        149.43.220.33         TCP      66     [TCP ACKed unseen segment] 5228 → 51394 [ACK] Seq=1 Ack=3 Win=265 Len=0 TSval=2846213780 TSecr=2880665940
    251 134.377086     142.250.31.188        149.43.220.33         TCP      74     5228 → 51410 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1386 SACK_PERM=1 TSval=4051406262 TSecr=2030429500 WS=256
    252 134.377174     149.43.220.33         142.250.31.188        TCP      66     51410 → 5228 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=2030429514 TSecr=4051406262
    253 134.379190     23.22.254.206         149.43.220.33         TCP      74     443 → 59298 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1386 SACK_PERM=1 TSval=3730858615 TSecr=2505441650 WS=4096
    254 134.382157     149.43.220.33         142.250.31.188        TLSv1.3  583    Client Hello
    255 134.382502     149.43.220.33         23.22.254.206         TCP      66     59298 → 443 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=2505441668 TSecr=3730858615
    256 134.382505     149.43.220.33         23.22.254.206         TLSv1.2  583    Client Hello
    257 134.389322     149.43.220.33         17.57.144.11          TLSv1.2  100    Application Data
    258 134.389823     149.43.220.33         17.57.144.11          TLSv1.2  98     Application Data
    259 134.399731     142.250.31.188        149.43.220.33         TCP      66     5228 → 51410 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=4051406283 TSecr=2030429519
    260 134.399732     142.250.31.188        149.43.220.33         TLSv1.3  1440   Server Hello, Change Cipher Spec
    261 134.399732     142.250.31.188        149.43.220.33         TCP      1440   5228 → 51410 [PSH, ACK] Seq=1375 Ack=518 Win=66816 Len=1374 TSval=4051406283 TSecr=2030429519 [TCP segment of a reassembled PDU]
    262 134.399733     142.250.31.188        149.43.220.33         TCP      1440   5228 → 51410 [ACK] Seq=2749 Ack=518 Win=66816 Len=1374 TSval=4051406283 TSecr=2030429519 [TCP segment of a reassembled PDU]
    263 134.399733     142.250.31.188        149.43.220.33         TCP      1440   5228 → 51410 [PSH, ACK] Seq=4123 Ack=518 Win=66816 Len=1374 TSval=4051406283 TSecr=2030429519 [TCP segment of a reassembled PDU]
    264 134.399734     142.250.31.188        149.43.220.33         TLSv1.3  1231   Application Data
    265 134.399734     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=1 Ack=35 Win=501 Len=0 TSval=1268325113 TSecr=334615821
    266 134.399734     17.57.144.11          149.43.220.33         TLSv1.2  90     Application Data
    267 134.399734     23.22.254.206         149.43.220.33         TCP      66     443 → 59298 [ACK] Seq=1 Ack=518 Win=28672 Len=0 TSval=3730858635 TSecr=2505441668
    268 134.399815     149.43.220.33         142.250.31.188        TCP      66     51410 → 5228 [ACK] Seq=518 Ack=6662 Win=125184 Len=0 TSval=2030429537 TSecr=4051406283
    269 134.399981     149.43.220.33         17.57.144.11          TCP      66     59271 → 5223 [ACK] Seq=67 Ack=25 Win=2047 Len=0 TSval=334615832 TSecr=1268325113
    270 134.400123     149.43.220.33         142.250.31.188        TCP      66     [TCP Window Update] 51410 → 5228 [ACK] Seq=518 Ack=6662 Win=131072 Len=0 TSval=2030429537 TSecr=4051406283
    271 134.401344     149.43.220.33         142.250.31.188        TLSv1.3  130    Change Cipher Spec, Application Data
    272 134.401934     149.43.220.33         142.250.31.188        TLSv1.3  274    Application Data
    273 134.403067     23.22.254.206         149.43.220.33         TLSv1.2  162    Server Hello
    274 134.403196     149.43.220.33         23.22.254.206         TCP      66     59298 → 443 [ACK] Seq=518 Ack=97 Win=131776 Len=0 TSval=2505441689 TSecr=3730858635
    275 134.403716     149.43.220.33         149.43.134.83         DNS      82     Standard query 0x1991 A time-osx.g.aaplimg.com
    276 134.404606     23.22.254.206         149.43.220.33         TCP      1440   443 → 59298 [ACK] Seq=97 Ack=518 Win=28672 Len=1374 TSval=3730858635 TSecr=2505441668 [TCP segment of a reassembled PDU]
    277 134.404607     23.22.254.206         149.43.220.33         TCP      1440   443 → 59298 [ACK] Seq=1471 Ack=518 Win=28672 Len=1374 TSval=3730858635 TSecr=2505441668 [TCP segment of a reassembled PDU]
    278 134.404607     23.22.254.206         149.43.220.33         TLSv1.2  820    Certificate
    279 134.404607     23.22.254.206         149.43.220.33         TLSv1.2  404    Server Key Exchange
    280 134.404608     23.22.254.206         149.43.220.33         TLSv1.2  75     Server Hello Done
    281 134.404996     149.43.220.33         23.22.254.206         TCP      66     59298 → 443 [ACK] Seq=518 Ack=3946 Win=127936 Len=0 TSval=2505441691 TSecr=3730858636
    282 134.404999     149.43.220.33         23.22.254.206         TCP      66     [TCP Window Update] 59298 → 443 [ACK] Seq=518 Ack=3946 Win=131072 Len=0 TSval=2505441691 TSecr=3730858636
    283 134.406201     149.43.134.83         149.43.220.33         DNS      162    Standard query response 0x1991 A time-osx.g.aaplimg.com A 17.253.14.123 A 17.253.20.125 A 17.253.20.253 A 17.253.14.125 A 17.253.14.253
    284 134.413667     149.43.220.33         17.253.14.253         NTP      90     NTP Version 4, client
    285 134.415783     142.250.31.188        149.43.220.33         TCP      66     5228 → 51410 [ACK] Seq=6662 Ack=790 Win=67840 Len=0 TSval=4051406301 TSecr=2030429539
    286 134.423263     17.253.14.253         149.43.220.33         NTP      90     NTP Version 4, server
    287 134.424339     142.250.31.188        149.43.220.33         TLSv1.3  595    Application Data, Application Data
    288 134.424381     149.43.220.33         142.250.31.188        TCP      66     51410 → 5228 [ACK] Seq=790 Ack=7191 Win=130496 Len=0 TSval=2030429562 TSecr=4051406310
    289 134.428532     142.250.31.188        149.43.220.33         TLSv1.3  153    Application Data
    290 134.428569     149.43.220.33         142.250.31.188        TCP      66     51410 → 5228 [ACK] Seq=790 Ack=7278 Win=130944 Len=0 TSval=2030429566 TSecr=4051406314
    291 134.432100     149.43.220.33         17.253.14.123         NTP      90     NTP Version 4, client
    292 134.436272     142.250.31.188        149.43.220.33         TLSv1.3  100    Application Data
    293 134.436312     149.43.220.33         142.250.31.188        TCP      66     51410 → 5228 [ACK] Seq=790 Ack=7312 Win=131008 Len=0 TSval=2030429574 TSecr=4051406322
    294 134.439471     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=67 Win=501 Len=0 TSval=1268325154 TSecr=334615821
    295 134.441694     17.253.14.123         149.43.220.33         NTP      90     NTP Version 4, server
    296 134.445482     149.43.220.33         23.22.254.206         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    297 134.445952     63.34.202.188         149.43.220.33         TCP      66     443 → 51395 [FIN, ACK] Seq=4455 Ack=112 Win=115 Len=0 TSval=3649075357 TSecr=1851909170
    298 134.446028     149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=112 Ack=4456 Win=2048 Len=0 TSval=1851909265 TSecr=3649075357
    299 134.446430     149.43.220.33         17.253.20.125         NTP      90     NTP Version 4, client
    300 134.461783     17.253.20.125         149.43.220.33         NTP      90     NTP Version 4, server
    301 134.462079     23.22.254.206         149.43.220.33         TCP      66     443 → 59298 [ACK] Seq=3946 Ack=644 Win=28672 Len=0 TSval=3730858697 TSecr=2505441732
    302 134.462079     23.22.254.206         149.43.220.33         TLSv1.2  72     Change Cipher Spec
    303 134.462079     23.22.254.206         149.43.220.33         TLSv1.2  111    Encrypted Handshake Message
    304 134.465621     149.43.220.33         23.22.254.206         TCP      66     59298 → 443 [ACK] Seq=644 Ack=3997 Win=131008 Len=0 TSval=2505441749 TSecr=3730858697
    305 134.467627     149.43.220.33         23.22.254.206         TLSv1.2  419    Application Data
    306 134.468733     149.43.220.33         23.22.254.206         TLSv1.2  1065   Application Data
    307 134.483917     23.22.254.206         149.43.220.33         TCP      66     443 → 59298 [ACK] Seq=3997 Ack=1996 Win=32768 Len=0 TSval=3730858720 TSecr=2505441754
    308 134.491473     23.22.254.206         149.43.220.33         TLSv1.2  287    Application Data
    309 134.491733     149.43.220.33         23.22.254.206         TCP      66     59298 → 443 [ACK] Seq=1996 Ack=4218 Win=130816 Len=0 TSval=2505441778 TSecr=3730858728
    310 134.767781     149.43.220.33         54.160.120.76         TLSv1.2  97     Encrypted Alert
    311 134.768124     149.43.220.33         54.160.120.76         TCP      66     59276 → 443 [FIN, ACK] Seq=7881 Ack=2039 Win=2048 Len=0 TSval=3542589687 TSecr=482513999
    312 134.829228     54.160.120.76         149.43.220.33         TCP      66     443 → 59276 [ACK] Seq=2039 Ack=7882 Win=300 Len=0 TSval=482517015 TSecr=3542589687
    313 135.464496     149.43.220.33         17.57.144.11          TLSv1.2  96     Application Data
    314 135.466726     149.43.220.33         17.57.144.11          TCP      1440   59271 → 5223 [ACK] Seq=97 Ack=25 Win=2048 Len=1374 TSval=334616899 TSecr=1268325154 [TCP segment of a reassembled PDU]
    315 135.466731     149.43.220.33         17.57.144.11          TCP      1440   59271 → 5223 [ACK] Seq=1471 Ack=25 Win=2048 Len=1374 TSval=334616899 TSecr=1268325154 [TCP segment of a reassembled PDU]
    316 135.466733     149.43.220.33         17.57.144.11          TCP      1440   59271 → 5223 [ACK] Seq=2845 Ack=25 Win=2048 Len=1374 TSval=334616899 TSecr=1268325154 [TCP segment of a reassembled PDU]
    317 135.466735     149.43.220.33         17.57.144.11          TLSv1.2  1440   Application Data
    318 135.468565     149.43.220.33         17.57.144.11          TLSv1.2  94     Application Data
    319 135.480738     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=97 Win=501 Len=0 TSval=1268326195 TSecr=334616897
    320 135.483470     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=1471 Win=501 Len=0 TSval=1268326198 TSecr=334616899
    321 135.483471     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=2845 Win=497 Len=0 TSval=1268326198 TSecr=334616899
    322 135.483471     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=4219 Win=501 Len=0 TSval=1268326198 TSecr=334616899
    323 135.483472     17.57.144.11          149.43.220.33         TCP      66     5223 → 59271 [ACK] Seq=25 Ack=5593 Win=501 Len=0 TSval=1268326198 TSecr=334616899
